"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"2","0.000173","173.194.74.189","128.237.255.81","TLSv1.1","87","Application Data"
"3","0.000344","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1 Ack=88 Win=11792 Len=0"
"4","0.137867","128.237.255.81","173.194.74.189","TCP","1440","[TCP segment of a reassembled PDU]"
"5","0.137926","128.237.255.81","173.194.74.189","TLSv1.1","492","Application Data"
"6","0.155799","173.194.74.189","128.237.255.81","TCP","60","[TCP Dup ACK 2#1] 443 > 48487 [ACK] Seq=88 Ack=1 Win=63756 Len=0"
"7","0.156358","173.194.74.189","128.237.255.81","TCP","60","443 > 48487 [ACK] Seq=88 Ack=1825 Win=62370 Len=0"
"8","0.309219","173.194.74.189","128.237.255.81","TLSv1.1","105","Application Data"
"9","0.309472","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"10","0.309562","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=193 Win=11792 Len=0"
"11","5.681039","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"12","5.716782","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=247 Win=11792 Len=0"
"13","5.866926","128.237.255.81","74.125.228.86","TCP","1440","[TCP segment of a reassembled PDU]"
"14","5.866973","128.237.255.81","74.125.228.86","TCP","1440","[TCP segment of a reassembled PDU]"
"15","5.866988","128.237.255.81","74.125.228.86","TLSv1","179","Application Data"
"16","5.878125","74.125.228.86","128.237.255.81","TCP","60","443 > 35096 [ACK] Seq=1 Ack=2898 Win=60859 Len=0"
"17","5.878178","128.237.255.81","74.125.228.86","TLSv1","164","Application Data"
"18","5.928760","74.125.228.86","128.237.255.81","TCP","60","443 > 35096 [ACK] Seq=1 Ack=3008 Win=63756 Len=0"
"19","6.027422","74.125.228.86","128.237.255.81","TLSv1","592","Application Data"
"20","6.027484","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=3008 Ack=539 Win=8608 Len=0"
"21","6.027424","74.125.228.86","128.237.255.81","TLSv1","118","Application Data"
