"No.","Time","Source","Destination","Protocol","Length","Info"
"27","25.193906","128.237.255.81","199.59.148.147","TCP","58","60921 > 80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460"
"28","25.271255","199.59.148.147","128.237.255.81","TCP","60","80 > 60921 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1386"
"34","25.476116","128.237.255.81","74.125.228.64","TCP","58","53049 > 443 [SYN] Seq=0 Win=5840 Len=0 MSS=1460"
"35","25.486438","74.125.228.64","128.237.255.81","TCP","60","443 > 53049 [SYN, ACK] Seq=0 Ack=1 Win=62920 Len=0 MSS=1386"
"60","27.156513","121.168.84.32","128.237.255.81","TCP","54","21494 > 80 [SYN] Seq=0 Win=8192 Len=0"
"61","27.635797","75.214.206.60","128.237.255.81","TCP","54","31015 > 80 [SYN] Seq=0 Win=8192 Len=0"
"62","28.106639","21.241.212.197","128.237.255.81","TCP","54","4157 > 80 [SYN] Seq=0 Win=8192 Len=0"
"63","28.565672","55.53.190.191","128.237.255.81","TCP","54","17119 > 80 [SYN] Seq=0 Win=8192 Len=0"
"64","29.066467","71.113.17.64","128.237.255.81","TCP","54","24332 > 80 [SYN] Seq=0 Win=8192 Len=0"
"65","29.536452","120.130.138.152","128.237.255.81","TCP","54","54512 > 80 [SYN] Seq=0 Win=8192 Len=0"
"66","30.028849","171.128.49.99","128.237.255.81","TCP","54","48005 > 80 [SYN] Seq=0 Win=8192 Len=0"
"70","30.509212","104.220.68.36","128.237.255.81","TCP","54","19569 > 80 [SYN] Seq=0 Win=8192 Len=0"
"71","30.989097","241.210.41.46","128.237.255.81","TCP","54","62595 > 80 [SYN] Seq=0 Win=8192 Len=0"
"72","31.489152","33.24.97.48","128.237.255.81","TCP","54","9706 > 80 [SYN] Seq=0 Win=8192 Len=0"
"73","31.995642","115.99.66.210","128.237.255.81","TCP","54","24042 > 80 [SYN] Seq=0 Win=8192 Len=0"
"74","32.486570","154.29.81.178","128.237.255.81","TCP","54","10217 > 80 [SYN] Seq=0 Win=8192 Len=0"
"75","32.958888","69.232.82.51","128.237.255.81","TCP","54","40278 > 80 [SYN] Seq=0 Win=8192 Len=0"
"76","33.439092","234.183.31.38","128.237.255.81","TCP","54","30258 > 80 [SYN] Seq=0 Win=8192 Len=0"
"85","33.919036","102.146.88.253","128.237.255.81","TCP","54","31381 > 80 [SYN] Seq=0 Win=8192 Len=0"
"89","34.398894","196.132.138.81","128.237.255.81","TCP","54","63473 > 80 [SYN] Seq=0 Win=8192 Len=0"
"93","34.859105","63.193.172.89","128.237.255.81","TCP","54","27265 > 80 [SYN] Seq=0 Win=8192 Len=0"
"94","35.346444","16.6.74.206","128.237.255.81","TCP","54","62271 > 80 [SYN] Seq=0 Win=8192 Len=0"
"95","35.826348","94.148.118.202","128.237.255.81","TCP","54","62716 > 80 [SYN] Seq=0 Win=8192 Len=0"
"96","36.289107","160.116.210.243","128.237.255.81","TCP","54","29713 > 80 [SYN] Seq=0 Win=8192 Len=0"
"97","36.766348","248.237.9.18","128.237.255.81","TCP","54","60514 > 80 [SYN] Seq=0 Win=8192 Len=0"
"98","37.248876","161.147.211.153","128.237.255.81","TCP","54","32190 > 80 [SYN] Seq=0 Win=8192 Len=0"
"99","37.718929","207.137.67.221","128.237.255.81","TCP","54","59744 > 80 [SYN] Seq=0 Win=8192 Len=0"
"100","38.206645","229.61.253.52","128.237.255.81","TCP","54","26604 > 80 [SYN] Seq=0 Win=8192 Len=0"
"101","38.686436","180.70.211.154","128.237.255.81","TCP","54","7399 > 80 [SYN] Seq=0 Win=8192 Len=0"
"102","39.158123","132.214.137.24","128.237.255.81","TCP","54","55150 > 80 [SYN] Seq=0 Win=8192 Len=0"
"103","39.626382","132.42.241.177","128.237.255.81","TCP","54","9543 > 80 [SYN] Seq=0 Win=8192 Len=0"
"104","40.086627","65.248.11.247","128.237.255.81","TCP","54","50482 > 80 [SYN] Seq=0 Win=8192 Len=0"
"105","40.566358","49.201.237.5","128.237.255.81","TCP","54","37245 > 80 [SYN] Seq=0 Win=8192 Len=0"
"106","41.025807","51.145.58.158","128.237.255.81","TCP","54","26410 > 80 [SYN] Seq=0 Win=8192 Len=0"
"137","55.198575","128.237.255.81","199.59.148.147","TCP","58","60926 > 80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460"
"138","55.279912","199.59.148.147","128.237.255.81","TCP","60","80 > 60926 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1386"
